profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,MSFT,1.0,505.41,True,1.0,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 10,473,157,768 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 505.41 within [5.00, +inf]; trend: passed TrendFilter: close 505.41 is above 50-day MA 455.97 (required above), 50-day MA rising (430.65 -> 455.97, required rising); momentum: passed MomentumFilter: 63-day return +29.35% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 22,925,651 is 1.10x its 20-day avg 20,799,005 (required >= 1.00x)",
momentum_screen,2,META,0.0,665.6,True,0.0,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 10,953,495,341 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 665.60 within [5.00, +inf]; trend: passed TrendFilter: close 665.60 is above 50-day MA 602.56 (required above), 50-day MA rising (592.14 -> 602.56, required rising); momentum: passed MomentumFilter: 63-day return +17.39% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 19,191,791 is 1.07x its 20-day avg 17,894,880 (required >= 1.00x)",
pullback_screen,1,V,0.5451,375.28,True,0.023,0.548,,"liquidity: passed LiquidityFilter: avg dollar volume 2,293,963,987 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.28 within [5.00, +inf]; trend: passed TrendFilter: close 375.28 is above 200-day MA 335.18 (required above); momentum: passed MomentumFilter: 10-day return -1.66% (below threshold +0.00%); proximity: passed ProximityFilter: close 375.28 is 0.47% above SMA20 373.52 (band 3.00%, side any)",1.0
pullback_screen,2,AMZN,0.4608,253.54,True,1.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,343,765,576 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 253.54 within [5.00, +inf]; trend: passed TrendFilter: close 253.54 is above 200-day MA 239.93 (required above); momentum: passed MomentumFilter: 10-day return -4.84% (below threshold +0.00%); proximity: passed ProximityFilter: close 253.54 is 1.92% below SMA20 258.50 (band 3.00%, side any)",0.2771
pullback_screen,3,MSFT,0.3217,505.41,True,0.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,473,157,768 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 505.41 within [5.00, +inf]; trend: passed TrendFilter: close 505.41 is above 200-day MA 431.41 (required above); momentum: passed MomentumFilter: 10-day return -1.58% (below threshold +0.00%); proximity: passed ProximityFilter: close 505.41 is 2.12% above SMA20 494.93 (band 3.00%, side any)",0.1793
pullback_screen,4,JPM,0.2984,350.13,True,0.1576,0.3352,,"liquidity: passed LiquidityFilter: avg dollar volume 2,010,410,590 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 350.13 within [5.00, +inf]; trend: passed TrendFilter: close 350.13 is above 200-day MA 319.70 (required above); momentum: passed MomentumFilter: 10-day return -2.09% (below threshold +0.00%); proximity: passed ProximityFilter: close 350.13 is 1.68% below SMA20 356.10 (band 3.00%, side any)",0.3986
pullback_screen,5,UNH,0.1498,383.55,True,0.249,0.2505,,"liquidity: passed LiquidityFilter: avg dollar volume 1,862,024,745 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 383.55 within [5.00, +inf]; trend: passed TrendFilter: close 383.55 is above 200-day MA 353.35 (required above); momentum: passed MomentumFilter: 10-day return -2.39% (below threshold +0.00%); proximity: passed ProximityFilter: close 383.55 is 2.48% below SMA20 393.29 (band 3.00%, side any)",0.0
breakout_watch,1,AAPL,0.5,333.08,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 13,692,688,925 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 333.08 within [5.00, +inf]; proximity: passed ProximityFilter: close 333.08 is 0.93% below 20-day high 336.22 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.36% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 37,651,123 is 0.89x its 20-day avg 42,530,425 (required <= 0.90x)",0.5
