profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.5,736.59,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 13,671,406,725 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 736.59 within [5.00, +inf]; trend: passed TrendFilter: close 736.59 is above 50-day MA 610.42 (required above), 50-day MA rising (596.76 -> 610.42, required rising); momentum: passed MomentumFilter: 63-day return +31.02% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 27,807,333 is 1.36x its 20-day avg 20,422,080 (required >= 1.00x)",
pullback_screen,1,AMZN,0.5,254.98,True,0.5,0.5,,"liquidity: passed LiquidityFilter: avg dollar volume 8,669,282,524 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 254.98 within [5.00, +inf]; trend: passed TrendFilter: close 254.98 is above 200-day MA 240.53 (required above); momentum: passed MomentumFilter: 10-day return -0.77% (below threshold +0.00%); proximity: passed ProximityFilter: close 254.98 is 0.31% below SMA20 255.77 (band 3.00%, side any)",0.5
breakout_watch,1,NVDA,0.5,228.87,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 29,401,631,929 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 228.87 within [5.00, +inf]; proximity: passed ProximityFilter: close 228.87 is 2.51% below 20-day high 234.76 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.58% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 91,975,117 is 0.68x its 20-day avg 135,247,230 (required <= 0.90x)",0.5
