profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,JPM,0.5,352.49,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 2,193,593,397 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.49 within [5.00, +inf]; trend: passed TrendFilter: close 352.49 is above 50-day MA 352.35 (required above), 50-day MA rising (347.82 -> 352.35, required rising); momentum: passed MomentumFilter: 63-day return +10.36% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 13,013,522 is 2.25x its 20-day avg 5,789,915 (required >= 1.00x)",
pullback_screen,1,MSFT,1.0,497.12,True,1.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,197,201,661 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 497.12 within [5.00, +inf]; trend: passed TrendFilter: close 497.12 is above 200-day MA 431.52 (required above); momentum: passed MomentumFilter: 10-day return -2.00% (below threshold +0.00%); proximity: passed ProximityFilter: close 497.12 is 0.27% above SMA20 495.77 (band 3.00%, side any)",1.0
pullback_screen,2,V,0.4484,375.62,True,0.0,0.3624,,"liquidity: passed LiquidityFilter: avg dollar volume 2,112,180,206 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.62 within [5.00, +inf]; trend: passed TrendFilter: close 375.62 is above 200-day MA 335.39 (required above); momentum: passed MomentumFilter: 10-day return -0.99% (below threshold +0.00%); proximity: passed ProximityFilter: close 375.62 is 0.34% above SMA20 374.36 (band 3.00%, side any)",0.8945
pullback_screen,3,JPM,0.001,352.49,True,0.003,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 2,193,593,397 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.49 within [5.00, +inf]; trend: passed TrendFilter: close 352.49 is above 200-day MA 319.94 (required above); momentum: passed MomentumFilter: 10-day return -0.99% (below threshold +0.00%); proximity: passed ProximityFilter: close 352.49 is 0.90% below SMA20 355.68 (band 3.00%, side any)",0.0
breakout_watch,1,AAPL,1.0,331.34,True,,,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 13,657,382,249 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 331.34 within [5.00, +inf]; proximity: passed ProximityFilter: close 331.34 is 1.45% below 20-day high 336.22 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.36% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 31,387,302 is 0.73x its 20-day avg 43,085,305 (required <= 0.90x)",1.0
breakout_watch,2,GOOGL,0.3708,344.98,True,,,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 8,176,839,566 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 344.98 within [5.00, +inf]; proximity: passed ProximityFilter: close 344.98 is 1.88% below 20-day high 351.60 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.21% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 21,213,024 is 0.89x its 20-day avg 23,820,720 (required <= 0.90x)",0.618
breakout_watch,3,V,0.2006,375.62,True,,,0.5016,"liquidity: passed LiquidityFilter: avg dollar volume 2,112,180,206 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.62 within [5.00, +inf]; proximity: passed ProximityFilter: close 375.62 is 2.58% below 20-day high 385.57 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 1.39% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 4,988,257 is 0.81x its 20-day avg 6,164,000 (required <= 0.90x)",0.0
