profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1.0,META,0.5,653.69,True,0.0,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 10,111,451,610 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 653.69 within [5.00, +inf]; trend: passed TrendFilter: close 653.69 is above 50-day MA 598.58 (required above), 50-day MA rising (592.86 -> 598.58, required rising); momentum: passed MomentumFilter: 63-day return +11.82% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 35,268,904 is 2.18x its 20-day avg 16,202,730 (required >= 1.00x)",
momentum_screen,2.0,JPM,0.5,354.71,True,1.0,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 1,984,977,562 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 354.71 within [5.00, +inf]; trend: passed TrendFilter: close 354.71 is above 50-day MA 350.77 (required above), 50-day MA rising (345.52 -> 350.77, required rising); momentum: passed MomentumFilter: 63-day return +13.43% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 6,252,202 is 1.14x its 20-day avg 5,471,800 (required >= 1.00x)",
pullback_screen,1.0,V,0.753,367.39,True,1.0,0.5107,,"liquidity: passed LiquidityFilter: avg dollar volume 2,410,753,710 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 367.39 within [5.00, +inf]; trend: passed TrendFilter: close 367.39 is above 200-day MA 334.52 (required above); momentum: passed MomentumFilter: 10-day return -4.36% (below threshold +0.00%); proximity: passed ProximityFilter: close 367.39 is 1.32% below SMA20 372.32 (band 3.00%, side any)",0.6883
pullback_screen,2.0,MSFT,0.65,491.65,True,0.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,823,737,759 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 491.65 within [5.00, +inf]; trend: passed TrendFilter: close 491.65 is above 200-day MA 431.07 (required above); momentum: passed MomentumFilter: 10-day return -0.01% (below threshold +0.00%); proximity: passed ProximityFilter: close 491.65 is 0.58% below SMA20 494.50 (band 3.00%, side any)",1.0
pullback_screen,3.0,UNH,0.6181,393.06,True,0.2019,0.7109,,"liquidity: passed LiquidityFilter: avg dollar volume 1,782,302,693 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 393.06 within [5.00, +inf]; trend: passed TrendFilter: close 393.06 is above 200-day MA 352.35 (required above); momentum: passed MomentumFilter: 10-day return -0.89% (below threshold +0.00%); proximity: passed ProximityFilter: close 393.06 is 0.76% below SMA20 396.06 (band 3.00%, side any)",0.9242
pullback_screen,4.0,JPM,0.5707,354.71,True,0.1249,0.6744,,"liquidity: passed LiquidityFilter: avg dollar volume 1,984,977,562 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 354.71 within [5.00, +inf]; trend: passed TrendFilter: close 354.71 is above 200-day MA 318.87 (required above); momentum: passed MomentumFilter: 10-day return -0.56% (below threshold +0.00%); proximity: passed ProximityFilter: close 354.71 is 0.83% below SMA20 357.66 (band 3.00%, side any)",0.8959
pullback_screen,5.0,AMZN,0.266,252.4,True,0.7601,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,433,507,888 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 252.40 within [5.00, +inf]; trend: passed TrendFilter: close 252.40 is above 200-day MA 239.44 (required above); momentum: passed MomentumFilter: 10-day return -3.32% (below threshold +0.00%); proximity: passed ProximityFilter: close 252.40 is 2.98% below SMA20 260.15 (band 3.00%, side any)",0.0
