profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,MSFT,0.7,516.17,True,1.0,0.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 10,930,319,288 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 516.17 within [5.00, +inf]; trend: passed TrendFilter: close 516.17 is above 50-day MA 475.81 (required above), 50-day MA rising (453.67 -> 475.81, required rising); momentum: passed MomentumFilter: 63-day return +38.39% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 37,897,460 is 1.78x its 20-day avg 21,338,675 (required >= 1.00x)",
momentum_screen,2,META,0.3,751.66,True,0.0,1.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 15,522,102,193 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 751.66 within [5.00, +inf]; trend: passed TrendFilter: close 751.66 is above 50-day MA 615.75 (required above), 50-day MA rising (600.90 -> 615.75, required rising); momentum: passed MomentumFilter: 63-day return +36.60% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 25,459,873 is 1.14x its 20-day avg 22,401,270 (required >= 1.00x)",
pullback_screen,1,V,0.6695,367.38,True,0.0557,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 2,239,356,109 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 367.38 within [5.00, +inf]; trend: passed TrendFilter: close 367.38 is above 200-day MA 336.86 (required above); momentum: passed MomentumFilter: 10-day return -0.83% (below threshold +0.00%); proximity: passed ProximityFilter: close 367.38 is 1.09% below SMA20 371.42 (band 3.00%, side any)",1.0
pullback_screen,2,JPM,0.4947,343.06,True,1.0,0.5787,,"liquidity: passed LiquidityFilter: avg dollar volume 2,670,541,091 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 343.06 within [5.00, +inf]; trend: passed TrendFilter: close 343.06 is above 200-day MA 321.26 (required above); momentum: passed MomentumFilter: 10-day return -3.70% (below threshold +0.00%); proximity: passed ProximityFilter: close 343.06 is 2.33% below SMA20 351.26 (band 3.00%, side any)",0.0
pullback_screen,3,AMZN,0.4074,249.67,True,0.6944,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,978,107,577 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 249.67 within [5.00, +inf]; trend: passed TrendFilter: close 249.67 is above 200-day MA 240.85 (required above); momentum: passed MomentumFilter: 10-day return -2.77% (below threshold +0.00%); proximity: passed ProximityFilter: close 249.67 is 1.82% below SMA20 254.31 (band 3.00%, side any)",0.4107
pullback_screen,4,UNH,0.1629,376.59,True,0.0,0.4247,,"liquidity: passed LiquidityFilter: avg dollar volume 1,970,158,964 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 376.59 within [5.00, +inf]; trend: passed TrendFilter: close 376.59 is above 200-day MA 355.43 (required above); momentum: passed MomentumFilter: 10-day return -0.66% (below threshold +0.00%); proximity: passed ProximityFilter: close 376.59 is 2.16% below SMA20 384.90 (band 3.00%, side any)",0.1419
breakout_watch,1,AAPL,0.5,341.07,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,097,248,880 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 341.07 within [5.00, +inf]; proximity: passed ProximityFilter: close 341.07 is 1.24% below 20-day high 345.34 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.00% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 29,403,008 is 0.68x its 20-day avg 43,016,165 (required <= 0.90x)",0.5
