profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.5,744.1,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,533,585,678 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 744.10 within [5.00, +inf]; trend: passed TrendFilter: close 744.10 is above 50-day MA 612.08 (required above), 50-day MA rising (598.58 -> 612.08, required rising); momentum: passed MomentumFilter: 63-day return +33.43% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 30,346,000 is 1.43x its 20-day avg 21,178,655 (required >= 1.00x)",
pullback_screen,1,AMZN,0.5,249.27,True,0.5,0.5,,"liquidity: passed LiquidityFilter: avg dollar volume 8,896,275,158 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 249.27 within [5.00, +inf]; trend: passed TrendFilter: close 249.27 is above 200-day MA 240.63 (required above); momentum: passed MomentumFilter: 10-day return -1.24% (below threshold +0.00%); proximity: passed ProximityFilter: close 249.27 is 2.32% below SMA20 255.18 (band 3.00%, side any)",0.5
breakout_watch,1,AAPL,0.5,337.02,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,222,381,659 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 337.02 within [5.00, +inf]; proximity: passed ProximityFilter: close 337.02 is 2.41% below 20-day high 345.34 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.15% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 31,587,800 is 0.73x its 20-day avg 43,191,285 (required <= 0.90x)",0.5
