profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.5,777.59,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,988,192,153 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 777.59 within [5.00, +inf]; trend: passed TrendFilter: close 777.59 is above 50-day MA 614.00 (required above), 50-day MA rising (600.20 -> 614.00, required rising); momentum: passed MomentumFilter: 63-day return +43.24% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 34,507,603 is 1.55x its 20-day avg 22,231,660 (required >= 1.00x)",
pullback_screen,1,AMZN,0.5,249.38,True,0.5,0.5,,"liquidity: passed LiquidityFilter: avg dollar volume 9,025,523,841 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 249.38 within [5.00, +inf]; trend: passed TrendFilter: close 249.38 is above 200-day MA 240.73 (required above); momentum: passed MomentumFilter: 10-day return -1.00% (below threshold +0.00%); proximity: passed ProximityFilter: close 249.38 is 2.06% below SMA20 254.64 (band 3.00%, side any)",0.5
breakout_watch,1,AAPL,0.5,335.92,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,097,273,790 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 335.92 within [5.00, +inf]; proximity: passed ProximityFilter: close 335.92 is 2.73% below 20-day high 345.34 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.11% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 24,228,667 is 0.56x its 20-day avg 43,480,735 (required <= 0.90x)",0.5
