profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1.0,AAPL,0.5,332.27,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 13,497,458,155 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 332.27 within [5.00, +inf]; trend: passed TrendFilter: close 332.27 is above 50-day MA 317.97 (required above), 50-day MA rising (311.52 -> 317.97, required rising); momentum: passed MomentumFilter: 63-day return +12.39% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 50,659,000 is 1.21x its 20-day avg 42,014,940 (required >= 1.00x)",
pullback_screen,1.0,MSFT,0.7695,495.63,True,0.3415,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,295,525,048 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 495.63 within [5.00, +inf]; trend: passed TrendFilter: close 495.63 is above 200-day MA 431.26 (required above); momentum: passed MomentumFilter: 10-day return -1.87% (below threshold +0.00%); proximity: passed ProximityFilter: close 495.63 is 0.24% above SMA20 494.43 (band 3.00%, side any)",1.0
pullback_screen,2.0,NVDA,0.524,218.29,True,1.0,0.696,,"liquidity: passed LiquidityFilter: avg dollar volume 28,153,193,120 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 218.29 within [5.00, +inf]; trend: passed TrendFilter: close 218.29 is above 200-day MA 197.47 (required above); momentum: passed MomentumFilter: 10-day return -4.25% (below threshold +0.00%); proximity: passed ProximityFilter: close 218.29 is 0.85% below SMA20 220.16 (band 3.00%, side any)",0.0
pullback_screen,3.0,V,0.4651,370.45,True,0.4959,0.6999,,"liquidity: passed LiquidityFilter: avg dollar volume 2,328,678,787 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 370.45 within [5.00, +inf]; trend: passed TrendFilter: close 370.45 is above 200-day MA 334.95 (required above); momentum: passed MomentumFilter: 10-day return -2.43% (below threshold +0.00%); proximity: passed ProximityFilter: close 370.45 is 0.67% below SMA20 372.96 (band 3.00%, side any)",0.2915
pullback_screen,4.0,GOOGL,0.0665,338.5,True,0.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 7,805,775,493 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 338.50 within [5.00, +inf]; trend: passed TrendFilter: close 338.50 is above 200-day MA 336.81 (required above); momentum: passed MomentumFilter: 10-day return -0.63% (below threshold +0.00%); proximity: passed ProximityFilter: close 338.50 is 0.75% below SMA20 341.06 (band 3.00%, side any)",0.1663
