profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1.0,META,0.5,613.48,True,0.0,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 9,351,346,562 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 613.48 within [5.00, +inf]; trend: passed TrendFilter: close 613.48 is above 50-day MA 596.76 (required above), 50-day MA rising (592.80 -> 596.76, required rising); momentum: passed MomentumFilter: 63-day return +4.80% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 18,871,000 is 1.18x its 20-day avg 16,005,610 (required >= 1.00x)",
momentum_screen,2.0,JPM,0.5,353.51,True,1.0,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 1,956,935,441 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 353.51 within [5.00, +inf]; trend: passed TrendFilter: close 353.51 is above 50-day MA 350.26 (required above), 50-day MA rising (344.80 -> 350.26, required rising); momentum: passed MomentumFilter: 63-day return +13.63% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 5,631,400 is 1.03x its 20-day avg 5,456,605 (required >= 1.00x)",
pullback_screen,1.0,V,0.9834,368.64,True,1.0,0.9338,,"liquidity: passed LiquidityFilter: avg dollar volume 2,409,453,592 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 368.64 within [5.00, +inf]; trend: passed TrendFilter: close 368.64 is above 200-day MA 334.31 (required above); momentum: passed MomentumFilter: 10-day return -3.60% (below threshold +0.00%); proximity: passed ProximityFilter: close 368.64 is 0.93% below SMA20 372.09 (band 3.00%, side any)",1.0
pullback_screen,2.0,GOOGL,0.4538,338.36,True,0.7085,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 7,686,356,642 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 338.36 within [5.00, +inf]; trend: passed TrendFilter: close 338.36 is above 200-day MA 336.21 (required above); momentum: passed MomentumFilter: 10-day return -2.79% (below threshold +0.00%); proximity: passed ProximityFilter: close 338.36 is 1.25% below SMA20 342.65 (band 3.00%, side any)",0.5144
pullback_screen,3.0,JPM,0.4501,353.51,True,0.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 1,956,935,441 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 353.51 within [5.00, +inf]; trend: passed TrendFilter: close 353.51 is above 200-day MA 318.61 (required above); momentum: passed MomentumFilter: 10-day return -0.81% (below threshold +0.00%); proximity: passed ProximityFilter: close 353.51 is 1.26% below SMA20 358.03 (band 3.00%, side any)",0.5003
pullback_screen,4.0,AMZN,0.3062,256.97,True,0.4075,0.6542,,"liquidity: passed LiquidityFilter: avg dollar volume 8,462,235,579 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 256.97 within [5.00, +inf]; trend: passed TrendFilter: close 256.97 is above 200-day MA 239.29 (required above); momentum: passed MomentumFilter: 10-day return -1.95% (below threshold +0.00%); proximity: passed ProximityFilter: close 256.97 is 1.60% below SMA20 261.14 (band 3.00%, side any)",0.0
