profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.9003,741.25,True,0.8006,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 13,004,895,785 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 741.25 within [5.00, +inf]; trend: passed TrendFilter: close 741.25 is above 50-day MA 608.82 (required above), 50-day MA rising (595.49 -> 608.82, required rising); momentum: passed MomentumFilter: 63-day return +31.46% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 48,572,800 is 2.60x its 20-day avg 18,678,455 (required >= 1.00x)",
momentum_screen,2,MSFT,0.6223,501.61,True,1.0,0.3197,0.1319,"liquidity: passed LiquidityFilter: avg dollar volume 10,648,885,881 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 501.61 within [5.00, +inf]; trend: passed TrendFilter: close 501.61 is above 50-day MA 467.01 (required above), 50-day MA rising (444.17 -> 467.01, required rising); momentum: passed MomentumFilter: 63-day return +36.55% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 27,873,100 is 1.32x its 20-day avg 21,053,855 (required >= 1.00x)",
momentum_screen,3,V,0.0441,369.95,True,0.0881,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,357,418,796 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 369.95 within [5.00, +inf]; trend: passed TrendFilter: close 369.95 is above 50-day MA 367.50 (required above), 50-day MA rising (363.19 -> 367.50, required rising); momentum: passed MomentumFilter: 63-day return +13.27% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 7,085,300 is 1.13x its 20-day avg 6,270,385 (required >= 1.00x)",
momentum_screen,4,AMZN,0.0272,258.45,True,0.0,0.0119,0.1184,"liquidity: passed LiquidityFilter: avg dollar volume 8,512,408,410 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 258.45 within [5.00, +inf]; trend: passed TrendFilter: close 258.45 is above 50-day MA 256.10 (required above), 50-day MA rising (253.95 -> 256.10, required rising); momentum: passed MomentumFilter: 63-day return +11.02% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 42,857,800 is 1.30x its 20-day avg 32,864,205 (required >= 1.00x)",
pullback_screen,1,JPM,0.9703,352.04,True,1.0,0.881,,"liquidity: passed LiquidityFilter: avg dollar volume 2,420,032,359 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.04 within [5.00, +inf]; trend: passed TrendFilter: close 352.04 is above 200-day MA 320.76 (required above); momentum: passed MomentumFilter: 10-day return -1.84% (below threshold +0.00%); proximity: passed ProximityFilter: close 352.04 is 0.69% below SMA20 354.49 (band 3.00%, side any)",1.0
pullback_screen,2,V,0.5085,369.95,True,0.7385,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 2,357,418,796 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 369.95 within [5.00, +inf]; trend: passed TrendFilter: close 369.95 is above 200-day MA 336.14 (required above); momentum: passed MomentumFilter: 10-day return -1.37% (below threshold +0.00%); proximity: passed ProximityFilter: close 369.95 is 1.34% below SMA20 374.98 (band 3.00%, side any)",0.0
pullback_screen,3,AMZN,0.2672,258.45,True,0.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,512,408,410 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 258.45 within [5.00, +inf]; trend: passed TrendFilter: close 258.45 is above 200-day MA 240.42 (required above); momentum: passed MomentumFilter: 10-day return -0.02% (below threshold +0.00%); proximity: passed ProximityFilter: close 258.45 is 0.91% above SMA20 256.12 (band 3.00%, side any)",0.6681
breakout_watch,1,AAPL,0.5,338.98,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 13,936,646,073 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 338.98 within [5.00, +inf]; proximity: passed ProximityFilter: close 338.98 is 0.19% below 20-day high 339.64 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.23% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 34,955,500 is 0.80x its 20-day avg 43,483,255 (required <= 0.90x)",0.5
