profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1.0,META,0.8,644.38,True,1.0,1.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 10,320,393,601 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 644.38 within [5.00, +inf]; trend: passed TrendFilter: close 644.38 is above 50-day MA 600.20 (required above), 50-day MA rising (592.52 -> 600.20, required rising); momentum: passed MomentumFilter: 63-day return +12.86% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 20,384,909 is 1.18x its 20-day avg 17,340,420 (required >= 1.00x)",
momentum_screen,2.0,AAPL,0.2,326.57,True,0.0,0.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 13,260,995,317 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 326.57 within [5.00, +inf]; trend: passed TrendFilter: close 326.57 is above 50-day MA 317.22 (required above), 50-day MA rising (311.22 -> 317.22, required rising); momentum: passed MomentumFilter: 63-day return +12.00% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 69,357,158 is 1.71x its 20-day avg 40,597,235 (required >= 1.00x)",
pullback_screen,1.0,V,0.7042,367.21,True,1.0,0.5033,,"liquidity: passed LiquidityFilter: avg dollar volume 2,411,552,014 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 367.21 within [5.00, +inf]; trend: passed TrendFilter: close 367.21 is above 200-day MA 334.74 (required above); momentum: passed MomentumFilter: 10-day return -4.35% (below threshold +0.00%); proximity: passed ProximityFilter: close 367.21 is 1.48% below SMA20 372.71 (band 3.00%, side any)",0.5711
pullback_screen,2.0,MSFT,0.65,492.44,True,0.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,492,707,257 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 492.44 within [5.00, +inf]; trend: passed TrendFilter: close 492.44 is above 200-day MA 431.14 (required above); momentum: passed MomentumFilter: 10-day return -0.79% (below threshold +0.00%); proximity: passed ProximityFilter: close 492.44 is 0.42% below SMA20 494.50 (band 3.00%, side any)",1.0
pullback_screen,3.0,UNH,0.5548,388.28,True,0.6701,0.5449,,"liquidity: passed LiquidityFilter: avg dollar volume 1,796,817,297 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 388.28 within [5.00, +inf]; trend: passed TrendFilter: close 388.28 is above 200-day MA 352.73 (required above); momentum: passed MomentumFilter: 10-day return -3.17% (below threshold +0.00%); proximity: passed ProximityFilter: close 388.28 is 1.75% below SMA20 395.19 (band 3.00%, side any)",0.4602
pullback_screen,4.0,JPM,0.4665,353.56,True,0.0093,0.6224,,"liquidity: passed LiquidityFilter: avg dollar volume 1,979,546,116 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 353.56 within [5.00, +inf]; trend: passed TrendFilter: close 353.56 is above 200-day MA 319.15 (required above); momentum: passed MomentumFilter: 10-day return -0.82% (below threshold +0.00%); proximity: passed ProximityFilter: close 353.56 is 0.99% below SMA20 357.08 (band 3.00%, side any)",0.7691
pullback_screen,5.0,AMZN,0.2394,251.89,True,0.6839,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,358,793,927 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 251.89 within [5.00, +inf]; trend: passed TrendFilter: close 251.89 is above 200-day MA 239.62 (required above); momentum: passed MomentumFilter: 10-day return -3.22% (below threshold +0.00%); proximity: passed ProximityFilter: close 251.89 is 2.89% below SMA20 259.38 (band 3.00%, side any)",0.0
