profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.5,777.59,True,0.5,0.5,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,997,398,703 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 777.59 within [5.00, +inf]; trend: passed TrendFilter: close 777.59 is above 50-day MA 614.00 (required above), 50-day MA rising (600.20 -> 614.00, required rising); momentum: passed MomentumFilter: 63-day return +43.24% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 34,744,400 is 1.56x its 20-day avg 22,231,660 (required >= 1.00x)",
pullback_screen,1,UNH,0.6,375.01,True,1.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 1,965,920,289 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.01 within [5.00, +inf]; trend: passed TrendFilter: close 375.01 is above 200-day MA 355.16 (required above); momentum: passed MomentumFilter: 10-day return -3.42% (below threshold +0.00%); proximity: passed ProximityFilter: close 375.01 is 2.80% below SMA20 385.82 (band 3.00%, side any)",0.0
pullback_screen,2,AMZN,0.4,249.38,True,0.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 9,030,031,821 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 249.38 within [5.00, +inf]; trend: passed TrendFilter: close 249.38 is above 200-day MA 240.73 (required above); momentum: passed MomentumFilter: 10-day return -1.00% (below threshold +0.00%); proximity: passed ProximityFilter: close 249.38 is 2.06% below SMA20 254.64 (band 3.00%, side any)",1.0
breakout_watch,1,AAPL,0.5,335.92,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 14,104,961,874 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 335.92 within [5.00, +inf]; proximity: passed ProximityFilter: close 335.92 is 2.73% below 20-day high 345.34 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.11% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 24,686,400 is 0.57x its 20-day avg 43,480,735 (required <= 0.90x)",0.5
