profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.8,670.24,True,1.0,1.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 11,121,671,657 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 670.24 within [5.00, +inf]; trend: passed TrendFilter: close 670.24 is above 50-day MA 603.96 (required above), 50-day MA rising (592.05 -> 603.96, required rising); momentum: passed MomentumFilter: 63-day return +12.93% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 19,485,700 is 1.06x its 20-day avg 18,424,425 (required >= 1.00x)",
momentum_screen,2,JPM,0.2,352.49,True,0.0,0.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,211,446,628 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.49 within [5.00, +inf]; trend: passed TrendFilter: close 352.49 is above 50-day MA 352.35 (required above), 50-day MA rising (347.82 -> 352.35, required rising); momentum: passed MomentumFilter: 63-day return +10.36% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 14,026,500 is 2.42x its 20-day avg 5,789,915 (required >= 1.00x)",
pullback_screen,1,MSFT,1.0,497.12,True,1.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,207,371,668 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 497.12 within [5.00, +inf]; trend: passed TrendFilter: close 497.12 is above 200-day MA 431.52 (required above); momentum: passed MomentumFilter: 10-day return -2.00% (below threshold +0.00%); proximity: passed ProximityFilter: close 497.12 is 0.27% above SMA20 495.77 (band 3.00%, side any)",1.0
pullback_screen,2,V,0.4484,375.62,True,0.0,0.3624,,"liquidity: passed LiquidityFilter: avg dollar volume 2,112,663,685 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.62 within [5.00, +inf]; trend: passed TrendFilter: close 375.62 is above 200-day MA 335.39 (required above); momentum: passed MomentumFilter: 10-day return -0.99% (below threshold +0.00%); proximity: passed ProximityFilter: close 375.62 is 0.34% above SMA20 374.36 (band 3.00%, side any)",0.8945
pullback_screen,3,JPM,0.001,352.49,True,0.003,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 2,211,446,628 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.49 within [5.00, +inf]; trend: passed TrendFilter: close 352.49 is above 200-day MA 319.94 (required above); momentum: passed MomentumFilter: 10-day return -0.99% (below threshold +0.00%); proximity: passed ProximityFilter: close 352.49 is 0.90% below SMA20 355.68 (band 3.00%, side any)",0.0
breakout_watch,1,AAPL,1.0,331.34,True,,,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 13,662,464,971 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 331.34 within [5.00, +inf]; proximity: passed ProximityFilter: close 331.34 is 1.45% below 20-day high 336.22 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.36% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 31,694,100 is 0.74x its 20-day avg 43,085,305 (required <= 0.90x)",1.0
breakout_watch,2,V,0.0,375.62,True,,,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,112,663,685 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.62 within [5.00, +inf]; proximity: passed ProximityFilter: close 375.62 is 2.58% below 20-day high 385.57 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 1.39% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 5,014,000 is 0.81x its 20-day avg 6,164,000 (required <= 0.90x)",0.0
