profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,META,0.9003,741.24,True,0.8006,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 12,992,025,197 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 741.24 within [5.00, +inf]; trend: passed TrendFilter: close 741.24 is above 50-day MA 608.82 (required above), 50-day MA rising (595.49 -> 608.82, required rising); momentum: passed MomentumFilter: 63-day return +31.46% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 48,269,329 is 2.58x its 20-day avg 18,676,035 (required >= 1.00x)",
momentum_screen,2,MSFT,0.6175,501.61,True,1.0,0.3198,0.1079,"liquidity: passed LiquidityFilter: avg dollar volume 10,600,615,944 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 501.61 within [5.00, +inf]; trend: passed TrendFilter: close 501.61 is above 50-day MA 467.01 (required above), 50-day MA rising (444.17 -> 467.01, required rising); momentum: passed MomentumFilter: 63-day return +36.55% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 26,025,479 is 1.24x its 20-day avg 21,049,945 (required >= 1.00x)",
momentum_screen,3,V,0.0441,369.95,True,0.0881,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,350,597,560 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 369.95 within [5.00, +inf]; trend: passed TrendFilter: close 369.95 is above 50-day MA 367.50 (required above), 50-day MA rising (363.19 -> 367.50, required rising); momentum: passed MomentumFilter: 63-day return +13.27% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 6,729,775 is 1.07x its 20-day avg 6,269,720 (required >= 1.00x)",
momentum_screen,4,AMZN,0.0254,258.45,True,0.0,0.0119,0.1092,"liquidity: passed LiquidityFilter: avg dollar volume 8,482,810,988 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 258.45 within [5.00, +inf]; trend: passed TrendFilter: close 258.45 is above 50-day MA 256.10 (required above), 50-day MA rising (253.95 -> 256.10, required rising); momentum: passed MomentumFilter: 63-day return +11.02% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 40,690,914 is 1.24x its 20-day avg 32,857,915 (required >= 1.00x)",
pullback_screen,1,JPM,0.9703,352.04,True,1.0,0.881,,"liquidity: passed LiquidityFilter: avg dollar volume 2,418,568,051 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 352.04 within [5.00, +inf]; trend: passed TrendFilter: close 352.04 is above 200-day MA 320.76 (required above); momentum: passed MomentumFilter: 10-day return -1.84% (below threshold +0.00%); proximity: passed ProximityFilter: close 352.04 is 0.69% below SMA20 354.49 (band 3.00%, side any)",1.0
pullback_screen,2,V,0.5085,369.95,True,0.7385,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 2,350,597,560 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 369.95 within [5.00, +inf]; trend: passed TrendFilter: close 369.95 is above 200-day MA 336.14 (required above); momentum: passed MomentumFilter: 10-day return -1.37% (below threshold +0.00%); proximity: passed ProximityFilter: close 369.95 is 1.34% below SMA20 374.98 (band 3.00%, side any)",0.0
pullback_screen,3,AMZN,0.2672,258.45,True,0.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,482,810,988 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 258.45 within [5.00, +inf]; trend: passed TrendFilter: close 258.45 is above 200-day MA 240.42 (required above); momentum: passed MomentumFilter: 10-day return -0.02% (below threshold +0.00%); proximity: passed ProximityFilter: close 258.45 is 0.91% above SMA20 256.12 (band 3.00%, side any)",0.6681
breakout_watch,1,AAPL,0.5,338.98,True,,,0.5,"liquidity: passed LiquidityFilter: avg dollar volume 13,924,280,574 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 338.98 within [5.00, +inf]; proximity: passed ProximityFilter: close 338.98 is 0.19% below 20-day high 339.64 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 2.23% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 34,379,725 is 0.79x its 20-day avg 43,475,500 (required <= 0.90x)",0.5
