profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1,NVDA,1.0,230.36,True,1.0,1.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 28,402,981,249 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 230.36 within [5.00, +inf]; trend: passed TrendFilter: close 230.36 is above 50-day MA 210.57 (required above), 50-day MA rising (207.58 -> 210.57, required rising); momentum: passed MomentumFilter: 63-day return +12.32% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 134,946,800 is 1.06x its 20-day avg 127,435,950 (required >= 1.00x)",
momentum_screen,2,META,0.1035,616.77,True,0.0,0.2597,0.128,"liquidity: passed LiquidityFilter: avg dollar volume 9,216,990,115 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 616.77 within [5.00, +inf]; trend: passed TrendFilter: close 616.77 is above 50-day MA 595.49 (required above), 50-day MA rising (592.99 -> 595.49, required rising); momentum: passed MomentumFilter: 63-day return +4.01% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 15,942,700 is 1.01x its 20-day avg 15,769,815 (required >= 1.00x)",
momentum_screen,3,AAPL,0.0061,319.97,True,0.0122,0.0,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 12,423,340,745 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 319.97 within [5.00, +inf]; trend: passed TrendFilter: close 319.97 is above 50-day MA 315.15 (required above), 50-day MA rising (310.21 -> 315.15, required rising); momentum: passed MomentumFilter: 63-day return +4.11% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 39,551,800 is 1.00x its 20-day avg 39,397,355 (required >= 1.00x)",
pullback_screen,1,AMZN,0.65,258.51,True,0.0,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,581,308,314 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 258.51 within [5.00, +inf]; trend: passed TrendFilter: close 258.51 is above 200-day MA 239.12 (required above); momentum: passed MomentumFilter: 10-day return -0.05% (below threshold +0.00%); proximity: passed ProximityFilter: close 258.51 is 1.41% below SMA20 262.20 (band 3.00%, side any)",1.0
pullback_screen,2,GOOGL,0.35,338.46,True,1.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 7,638,485,461 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 338.46 within [5.00, +inf]; trend: passed TrendFilter: close 338.46 is above 200-day MA 335.94 (required above); momentum: passed MomentumFilter: 10-day return -1.84% (below threshold +0.00%); proximity: passed ProximityFilter: close 338.46 is 1.50% below SMA20 343.61 (band 3.00%, side any)",0.0
breakout_watch,1,JPM,0.6,358.64,True,,,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 1,953,236,691 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 358.64 within [5.00, +inf]; proximity: passed ProximityFilter: close 358.64 is 2.14% below 20-day high 366.50 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 1.60% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 4,873,500 is 0.90x its 20-day avg 5,441,240 (required <= 0.90x)",1.0
breakout_watch,2,V,0.4,375.07,True,,,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,455,040,308 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 375.07 within [5.00, +inf]; proximity: passed ProximityFilter: close 375.07 is 2.72% below 20-day high 385.57 (band 3.00%, side any); volatility: passed VolatilityFilter: 14-day ATR 1.68% of price within configured band; volume_surge: passed VolumeSurgeFilter: volume 4,645,100 is 0.70x its 20-day avg 6,644,215 (required <= 0.90x)",0.0
